"","terms","count","probability"
"274","company",29,0.00047979881539327
"275","done",29,0.00047979881539327
"276","group",29,0.00047979881539327
"277","kids",29,0.00047979881539327
"278","national",29,0.00047979881539327
"279","party",29,0.00047979881539327
"280","according",28,0.000463254028655571
"281","actually",28,0.000463254028655571
"282","anything",28,0.000463254028655571
"283","coming",28,0.000463254028655571
"284","death",28,0.000463254028655571
"285","everyone",28,0.000463254028655571
"286","government",28,0.000463254028655571
"287","hope",28,0.000463254028655571
"288","idea",28,0.000463254028655571
"289","john",28,0.000463254028655571
"290","looking",28,0.000463254028655571
"291","music",28,0.000463254028655571
"292","saturday",28,0.000463254028655571
"293","top",28,0.000463254028655571
"294","white",28,0.000463254028655571
"295","already",27,0.000446709241917872
"296","america",27,0.000446709241917872
"297","among",27,0.000446709241917872
"298","asked",27,0.000446709241917872
"299","court",27,0.000446709241917872
"300","hard",27,0.000446709241917872
"301","information",27,0.000446709241917872
"302","job",27,0.000446709241917872
"303","list",27,0.000446709241917872
"304","lol",27,0.000446709241917872
"305","means",27,0.000446709241917872
"306","minutes",27,0.000446709241917872
"307","move",27,0.000446709241917872
"308","quite",27,0.000446709241917872
"309","start",27,0.000446709241917872
"310","win",27,0.000446709241917872
"311","yet",27,0.000446709241917872
"312","above",26,0.000430164455180173
"313","along",26,0.000430164455180173
"314","call",26,0.000430164455180173
"315","different",26,0.000430164455180173
"316","follow",26,0.000430164455180173
"317","guys",26,0.000430164455180173
"318","hes",26,0.000430164455180173
"319","news",26,0.000430164455180173
"320","officials",26,0.000430164455180173
"321","open",26,0.000430164455180173
"322","others",26,0.000430164455180173
"323","park",26,0.000430164455180173
"324","probably",26,0.000430164455180173
"325","system",26,0.000430164455180173
"326","weeks",26,0.000430164455180173
"327","care",25,0.000413619668442474
"328","center",25,0.000413619668442474
"329","couple",25,0.000413619668442474
"330","health",25,0.000413619668442474
"331","kind",25,0.000413619668442474
"332","large",25,0.000413619668442474
"333","month",25,0.000413619668442474
"334","please",25,0.000413619668442474
"335","run",25,0.000413619668442474
"336","taken",25,0.000413619668442474
"337","whole",25,0.000413619668442474
"338","write",25,0.000413619668442474
"339","amazing",24,0.000397074881704775
"340","april",24,0.000397074881704775
"341","area",24,0.000397074881704775
"342","become",24,0.000397074881704775
"343","blog",24,0.000397074881704775
"344","cup",24,0.000397074881704775
"345","fire",24,0.000397074881704775
"346","future",24,0.000397074881704775
"347","hotel",24,0.000397074881704775
"348","instead",24,0.000397074881704775
"349","months",24,0.000397074881704775
"350","red",24,0.000397074881704775
"351","seen",24,0.000397074881704775
"352","states",24,0.000397074881704775
"353","word",24,0.000397074881704775
"354","york",24,0.000397074881704775
"355","business",23,0.000380530094967076
"356","easy",23,0.000380530094967076
"357","italy",23,0.000380530094967076
"358","nice",23,0.000380530094967076
"359","office",23,0.000380530094967076
"360","outside",23,0.000380530094967076
"361","playing",23,0.000380530094967076
"362","post",23,0.000380530094967076
"363","shows",23,0.000380530094967076
"364","talk",23,0.000380530094967076
"365","wanted",23,0.000380530094967076
"366","watching",23,0.000380530094967076
"367","water",23,0.000380530094967076
"368","age",22,0.000363985308229377
"369","american",22,0.000363985308229377
"370","awesome",22,0.000363985308229377
"371","course",22,0.000363985308229377
"372","girl",22,0.000363985308229377
"373","girls",22,0.000363985308229377
"374","less",22,0.000363985308229377
"375","lost",22,0.000363985308229377
"376","myself",22,0.000363985308229377
"377","nothing",22,0.000363985308229377
"378","project",22,0.000363985308229377
"379","series",22,0.000363985308229377
"380","title",22,0.000363985308229377
"381","wasnt",22,0.000363985308229377
"382","wish",22,0.000363985308229377
"383","began",21,0.000347440521491678
"384","chicago",21,0.000347440521491678
"385","department",21,0.000347440521491678
"386","forward",21,0.000347440521491678
"387","fresh",21,0.000347440521491678
"388","men",21,0.000347440521491678
"389","mind",21,0.000347440521491678
"390","piece",21,0.000347440521491678
"391","ready",21,0.000347440521491678
"392","sales",21,0.000347440521491678
"393","short",21,0.000347440521491678
"394","sunday",21,0.000347440521491678
"395","sweet",21,0.000347440521491678
"396","thursday",21,0.000347440521491678
"397","true",21,0.000347440521491678
"398","weather",21,0.000347440521491678
"399","whats",21,0.000347440521491678
"400","young",21,0.000347440521491678
"401","almost",20,0.000330895734753979
"402","bill",20,0.000330895734753979
"403","challenge",20,0.000330895734753979
"404","cut",20,0.000330895734753979
"405","deal",20,0.000330895734753979
"406","doesnt",20,0.000330895734753979
"407","experience",20,0.000330895734753979
"408","federal",20,0.000330895734753979
"409","final",20,0.000330895734753979
"410","five",20,0.000330895734753979
"411","gave",20,0.000330895734753979
"412","half",20,0.000330895734753979
"413","hit",20,0.000330895734753979
"414","hour",20,0.000330895734753979
"415","members",20,0.000330895734753979
"416","mother",20,0.000330895734753979
"417","reason",20,0.000330895734753979
"418","report",20,0.000330895734753979
"419","schools",20,0.000330895734753979
"420","several",20,0.000330895734753979
"421","single",20,0.000330895734753979
"422","sound",20,0.000330895734753979
"423","thank",20,0.000330895734753979
"424","theres",20,0.000330895734753979
"425","tomorrow",20,0.000330895734753979
"426","tuesday",20,0.000330895734753979
"427","worked",20,0.000330895734753979
"428","youre",20,0.000330895734753979
"429","although",19,0.00031435094801628
"430","art",19,0.00031435094801628
"431","beautiful",19,0.00031435094801628
"432","birthday",19,0.00031435094801628
"433","card",19,0.00031435094801628
"434","chance",19,0.00031435094801628
"435","close",19,0.00031435094801628
"436","didn",19,0.00031435094801628
"437","eat",19,0.00031435094801628
"438","education",19,0.00031435094801628
"439","else",19,0.00031435094801628
"440","fact",19,0.00031435094801628
"441","field",19,0.00031435094801628
"442","full",19,0.00031435094801628
"443","games",19,0.00031435094801628
"444","guy",19,0.00031435094801628
"445","however",19,0.00031435094801628
"446","late",19,0.00031435094801628
"447","leave",19,0.00031435094801628
"448","led",19,0.00031435094801628
"449","line",19,0.00031435094801628
"450","major",19,0.00031435094801628
"451","market",19,0.00031435094801628
"452","matter",19,0.00031435094801628
"453","media",19,0.00031435094801628
"454","movie",19,0.00031435094801628
"455","needed",19,0.00031435094801628
"456","order",19,0.00031435094801628
"457","perhaps",19,0.00031435094801628
"458","reading",19,0.00031435094801628
"459","recent",19,0.00031435094801628
"460","service",19,0.00031435094801628
"461","sometimes",19,0.00031435094801628
"462","street",19,0.00031435094801628
"463","summer",19,0.00031435094801628
"464","town",19,0.00031435094801628
"465","university",19,0.00031435094801628
"466","wife",19,0.00031435094801628
"467","campaign",18,0.000297806161278581
"468","cost",18,0.000297806161278581
"469","decided",18,0.000297806161278581
"470","especially",18,0.000297806161278581
"471","following",18,0.000297806161278581
"472","guess",18,0.000297806161278581
"473","heart",18,0.000297806161278581
"474","hey",18,0.000297806161278581
"475","hot",18,0.000297806161278581
"476","important",18,0.000297806161278581
"477","nearly",18,0.000297806161278581
"478","needs",18,0.000297806161278581
"479","often",18,0.000297806161278581
"480","online",18,0.000297806161278581
"481","oregon",18,0.000297806161278581
"482","pay",18,0.000297806161278581
"483","remember",18,0.000297806161278581
"484","running",18,0.000297806161278581
"485","san",18,0.000297806161278581
"486","son",18,0.000297806161278581
"487","space",18,0.000297806161278581
"488","starting",18,0.000297806161278581
"489","stop",18,0.000297806161278581
"490","students",18,0.000297806161278581
"491","stuff",18,0.000297806161278581
"492","support",18,0.000297806161278581
"493","taking",18,0.000297806161278581
"494","visit",18,0.000297806161278581
"495","wants",18,0.000297806161278581
"496","yeah",18,0.000297806161278581
"497","act",17,0.000281261374540882
"498","average",17,0.000281261374540882
"499","bar",17,0.000281261374540882
"500","career",17,0.000281261374540882
"501","church",17,0.000281261374540882
"502","control",17,0.000281261374540882
"503","dinner",17,0.000281261374540882
"504","earlier",17,0.000281261374540882
"505","enjoy",17,0.000281261374540882
"506","front",17,0.000281261374540882
"507","given",17,0.000281261374540882
"508","giving",17,0.000281261374540882
"509","gone",17,0.000281261374540882
"510","green",17,0.000281261374540882
"511","growth",17,0.000281261374540882
"512","hand",17,0.000281261374540882
"513","inside",17,0.000281261374540882
"514","isnt",17,0.000281261374540882
"515","issue",17,0.000281261374540882
"516","itself",17,0.000281261374540882
"517","light",17,0.000281261374540882
"518","louis",17,0.000281261374540882
"519","mom",17,0.000281261374540882
"520","ones",17,0.000281261374540882
"521","points",17,0.000281261374540882
"522","problem",17,0.000281261374540882
"523","quick",17,0.000281261374540882
"524","saw",17,0.000281261374540882
"525","saying",17,0.000281261374540882
"526","started",17,0.000281261374540882
"527","stay",17,0.000281261374540882
"528","store",17,0.000281261374540882
"529","third",17,0.000281261374540882
"530","tickets",17,0.000281261374540882
"531","whether",17,0.000281261374540882
"532","wine",17,0.000281261374540882
"533","women",17,0.000281261374540882
"534","wrong",17,0.000281261374540882
"535","alone",16,0.000264716587803183
"536","band",16,0.000264716587803183
"537","brown",16,0.000264716587803183
"538","buy",16,0.000264716587803183
"539","cake",16,0.000264716587803183
"540","car",16,0.000264716587803183
"541","color",16,0.000264716587803183
"542","comment",16,0.000264716587803183
"543","community",16,0.000264716587803183
"544","decide",16,0.000264716587803183
"545","due",16,0.000264716587803183
"546","eating",16,0.000264716587803183
"547","face",16,0.000264716587803183
"548","feeling",16,0.000264716587803183
"549","felt",16,0.000264716587803183
"550","former",16,0.000264716587803183
"551","friend",16,0.000264716587803183
"552","funny",16,0.000264716587803183
"553","general",16,0.000264716587803183
"554","happened",16,0.000264716587803183
"555","heat",16,0.000264716587803183
"556","held",16,0.000264716587803183
"557","higher",16,0.000264716587803183
"558","include",16,0.000264716587803183
"559","investigation",16,0.000264716587803183
"560","law",16,0.000264716587803183
"561","letter",16,0.000264716587803183
"562","meet",16,0.000264716587803183
"563","middle",16,0.000264716587803183
"564","monday",16,0.000264716587803183
"565","paper",16,0.000264716587803183
"566","parents",16,0.000264716587803183
"567","phone",16,0.000264716587803183
"568","player",16,0.000264716587803183
"569","political",16,0.000264716587803183
"570","questions",16,0.000264716587803183
"571","send",16,0.000264716587803183
"572","services",16,0.000264716587803183
"573","social",16,0.000264716587803183
"574","song",16,0.000264716587803183
"575","understand",16,0.000264716587803183
"576","video",16,0.000264716587803183
"577","walk",16,0.000264716587803183
"578","within",16,0.000264716587803183
"579","account",15,0.000248171801065484
"580","across",15,0.000248171801065484
"581","air",15,0.000248171801065484
"582","anyone",15,0.000248171801065484
"583","ask",15,0.000248171801065484
"584","based",15,0.000248171801065484
"585","board",15,0.000248171801065484
"586","body",15,0.000248171801065484
"587","building",15,0.000248171801065484
"588","calls",15,0.000248171801065484
"589","cool",15,0.000248171801065484
"590","create",15,0.000248171801065484
"591","david",15,0.000248171801065484
"592","director",15,0.000248171801065484
"593","district",15,0.000248171801065484
"594","fall",15,0.000248171801065484
"595","glad",15,0.000248171801065484
"596","growing",15,0.000248171801065484
"597","hear",15,0.000248171801065484
"598","history",15,0.000248171801065484
"599","jersey",15,0.000248171801065484
"600","looked",15,0.000248171801065484
"601","march",15,0.000248171801065484
"602","north",15,0.000248171801065484
"603","number",15,0.000248171801065484
"604","numbers",15,0.000248171801065484
"605","onto",15,0.000248171801065484
"606","played",15,0.000248171801065484
"607","portland",15,0.000248171801065484
"608","power",15,0.000248171801065484
"609","projects",15,0.000248171801065484
"610","quality",15,0.000248171801065484
"611","rate",15,0.000248171801065484
"612","rest",15,0.000248171801065484
"613","review",15,0.000248171801065484
"614","role",15,0.000248171801065484
"615","sent",15,0.000248171801065484
"616","share",15,0.000248171801065484
"617","sounds",15,0.000248171801065484
"618","spent",15,0.000248171801065484
"619","table",15,0.000248171801065484
"620","theyre",15,0.000248171801065484
"621","thinking",15,0.000248171801065484
"622","turn",15,0.000248171801065484
"623","waiting",15,0.000248171801065484
"624","wall",15,0.000248171801065484
"625","war",15,0.000248171801065484
"626","washington",15,0.000248171801065484
"627","watch",15,0.000248171801065484
"628","wednesday",15,0.000248171801065484
"629","words",15,0.000248171801065484
"630","works",15,0.000248171801065484
"631","writing",15,0.000248171801065484
"632","added",14,0.000231627014327785
"633","agency",14,0.000231627014327785
"634","areas",14,0.000231627014327785
"635","available",14,0.000231627014327785
"636","beginning",14,0.000231627014327785
"637","behind",14,0.000231627014327785
"638","bought",14,0.000231627014327785
"639","check",14,0.000231627014327785
"640","child",14,0.000231627014327785
"641","chocolate",14,0.000231627014327785
"642","clear",14,0.000231627014327785
"643","companies",14,0.000231627014327785
"644","cream",14,0.000231627014327785
"645","crime",14,0.000231627014327785
"646","digital",14,0.000231627014327785
"647","either",14,0.000231627014327785
"648","ended",14,0.000231627014327785
"649","energy",14,0.000231627014327785
"650","etc",14,0.000231627014327785
"651","excited",14,0.000231627014327785
"652","fair",14,0.000231627014327785
"653","father",14,0.000231627014327785
"654","filled",14,0.000231627014327785
"655","film",14,0.000231627014327785
"656","glass",14,0.000231627014327785
"657","himself",14,0.000231627014327785
"658","huge",14,0.000231627014327785
"659","interesting",14,0.000231627014327785
"660","james",14,0.000231627014327785
"661","jobs",14,0.000231627014327785
"662","key",14,0.000231627014327785
"663","known",14,0.000231627014327785
"664","knows",14,0.000231627014327785
"665","lead",14,0.000231627014327785
"666","living",14,0.000231627014327785
"667","loved",14,0.000231627014327785
"668","manager",14,0.000231627014327785
"669","medical",14,0.000231627014327785
"670","miss",14,0.000231627014327785
"671","moved",14,0.000231627014327785
"672","paul",14,0.000231627014327785
"673","players",14,0.000231627014327785
"674","pulled",14,0.000231627014327785
"675","question",14,0.000231627014327785
"676","race",14,0.000231627014327785
"677","rather",14,0.000231627014327785
"678","received",14,0.000231627014327785
"679","return",14,0.000231627014327785
"680","rock",14,0.000231627014327785
"681","sad",14,0.000231627014327785
"682","save",14,0.000231627014327785
"683","security",14,0.000231627014327785
"684","side",14,0.000231627014327785
"685","student",14,0.000231627014327785
"686","west",14,0.000231627014327785
"687","woman",14,0.000231627014327785
"688","won",14,0.000231627014327785
"689","ahead",13,0.000215082227590086
"690","attention",13,0.000215082227590086
"691","ball",13,0.000215082227590086
"692","bank",13,0.000215082227590086
"693","brothers",13,0.000215082227590086
"694","built",13,0.000215082227590086
"695","central",13,0.000215082227590086
"696","certain",13,0.000215082227590086
"697","changes",13,0.000215082227590086
"698","character",13,0.000215082227590086
"699","christmas",13,0.000215082227590086
"700","class",13,0.000215082227590086
"701","dance",13,0.000215082227590086
"702","definitely",13,0.000215082227590086
"703","economic",13,0.000215082227590086
"704","economy",13,0.000215082227590086
"705","event",13,0.000215082227590086
"706","faith",13,0.000215082227590086
"707","feet",13,0.000215082227590086
"708","figure",13,0.000215082227590086
"709","financial",13,0.000215082227590086
"710","gets",13,0.000215082227590086
"711","gift",13,0.000215082227590086
"712","gives",13,0.000215082227590086
"713","hair",13,0.000215082227590086
"714","heard",13,0.000215082227590086
"715","hold",13,0.000215082227590086
"716","husband",13,0.000215082227590086
"717","june",13,0.000215082227590086
"718","kept",13,0.000215082227590086
"719","knew",13,0.000215082227590086
"720","league",13,0.000215082227590086
"721","legal",13,0.000215082227590086
"722","lets",13,0.000215082227590086
"723","likely",13,0.000215082227590086
"724","longer",13,0.000215082227590086
"725","lots",13,0.000215082227590086
"726","officer",13,0.000215082227590086
"727","perfect",13,0.000215082227590086
"728","pick",13,0.000215082227590086
"729","plans",13,0.000215082227590086
"730","production",13,0.000215082227590086
"731","reality",13,0.000215082227590086
"732","road",13,0.000215082227590086
"733","seems",13,0.000215082227590086
"734","sense",13,0.000215082227590086
"735","sign",13,0.000215082227590086
"736","simply",13,0.000215082227590086
"737","sitting",13,0.000215082227590086
"738","sleep",13,0.000215082227590086
"739","south",13,0.000215082227590086
"740","special",13,0.000215082227590086
"741","step",13,0.000215082227590086
"742","stories",13,0.000215082227590086
"743","sugar",13,0.000215082227590086
"744","tax",13,0.000215082227590086
"745","themselves",13,0.000215082227590086
"746","twitter",13,0.000215082227590086
"747","version",13,0.000215082227590086
"748","welcome",13,0.000215082227590086
"749","wonderful",13,0.000215082227590086
"750","administration",12,0.000198537440852387
"751","association",12,0.000198537440852387
"752","became",12,0.000198537440852387
"753","black",12,0.000198537440852387
"754","boy",12,0.000198537440852387
"755","choice",12,0.000198537440852387
"756","choose",12,0.000198537440852387
"757","chris",12,0.000198537440852387
"758","claim",12,0.000198537440852387
"759","costs",12,0.000198537440852387
"760","daughter",12,0.000198537440852387
"761","dear",12,0.000198537440852387
"762","design",12,0.000198537440852387
"763","earth",12,0.000198537440852387
"764","email",12,0.000198537440852387
"765","enjoying",12,0.000198537440852387
"766","fan",12,0.000198537440852387
"767","fans",12,0.000198537440852387
"768","finally",12,0.000198537440852387
"769","finished",12,0.000198537440852387
"770","force",12,0.000198537440852387
"771","gonna",12,0.000198537440852387
"772","ground",12,0.000198537440852387
"773","guard",12,0.000198537440852387
"774","holiday",12,0.000198537440852387
"775","issues",12,0.000198537440852387
"776","journey",12,0.000198537440852387
"777","killed",12,0.000198537440852387
"778","learn",12,0.000198537440852387
"779","leaving",12,0.000198537440852387
"780","level",12,0.000198537440852387
"781","looks",12,0.000198537440852387
"782","luck",12,0.000198537440852387
"783","mayor",12,0.000198537440852387
"784","met",12,0.000198537440852387
"785","okay",12,0.000198537440852387
"786","per",12,0.000198537440852387
"787","price",12,0.000198537440852387
"788","proud",12,0.000198537440852387
"789","rights",12,0.000198537440852387
"790","safety",12,0.000198537440852387
"791","search",12,0.000198537440852387
"792","seeing",12,0.000198537440852387
"793","shot",12,0.000198537440852387
"794","six",12,0.000198537440852387
"795","spend",12,0.000198537440852387
"796","staff",12,0.000198537440852387
"797","stage",12,0.000198537440852387
"798","super",12,0.000198537440852387
"799","teams",12,0.000198537440852387
"800","telling",12,0.000198537440852387
"801","terms",12,0.000198537440852387
"802","thousands",12,0.000198537440852387
"803","type",12,0.000198537440852387
"804","various",12,0.000198537440852387
"805","venice",12,0.000198537440852387
"806","wedding",12,0.000198537440852387
"807","yearold",12,0.000198537440852387
"808","youll",12,0.000198537440852387
"809","actual",11,0.000181992654114688
"810","afternoon",11,0.000181992654114688
"811","americans",11,0.000181992654114688
"812","baby",11,0.000181992654114688
"813","background",11,0.000181992654114688
"814","bag",11,0.000181992654114688
"815","bands",11,0.000181992654114688
"816","below",11,0.000181992654114688
"817","block",11,0.000181992654114688
"818","books",11,0.000181992654114688
"819","boys",11,0.000181992654114688
"820","break",11,0.000181992654114688
"821","brought",11,0.000181992654114688
"822","clean",11,0.000181992654114688
"823","conference",11,0.000181992654114688
"824","considered",11,0.000181992654114688
"825","cute",11,0.000181992654114688
"826","cuts",11,0.000181992654114688
"827","dark",11,0.000181992654114688
"828","details",11,0.000181992654114688
"829","died",11,0.000181992654114688
"830","east",11,0.000181992654114688
"831","eight",11,0.000181992654114688
"832","events",11,0.000181992654114688
"833","expected",11,0.000181992654114688
"834","fast",11,0.000181992654114688
"835","floor",11,0.000181992654114688
"836","goes",11,0.000181992654114688
"837","haha",11,0.000181992654114688
"838","hands",11,0.000181992654114688
"839","happen",11,0.000181992654114688
"840","ice",11,0.000181992654114688
"841","immediately",11,0.000181992654114688
"842","increased",11,0.000181992654114688
